Field_ID,unique_ID,OffRoad_ID,OffRoad,Survey_Event_ID,Observer,Year,Survey_Date,Visit,Survey_Time,Wind,Temp,Sky_Code,Avg_Noise,Max_Noise,OVSP?,Site_Comments,Number_Detected,Lark_ID,Individual_ID,Sex,Age,Distance_Band,Interval_1,Interval_2,Interval_3,Interval_4,Distance_1,Min_1,Min_2,Min_3,Min_4,Min_5,Min_6,Min_7,Min_8,Distance_2,Min_9,Min_10,Min_11,Min_12,Min_13,Min_14,Min_15,Min_16,Distance_3,Min_17,Min_18,Min_19,Min_20,Min_21,Min_22,Min_23,Min_24,PB_Distance_4,Min_25,Min_26,Min_27,PB_Distance_5,Min_28,Min_29,Min_30,Notes,LatUTM,LongUTM,UTM_X,UTM_Y
25_960-1,960,,0,706,GRH,2025,5/20/2025,1,10:11:00 AM,,55,1,,,0,"RTHA perched immediately above. Can only be sure of 1 singing male with noise present, may be 2.",1,919,1,M,A,,,,,,76,S,S,S,S,S,S,S,S,,X,X,S,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,476853.34,4954326.5
25_4816-1,4816,,0,707,GRH,2025,5/20/2025,1,9:45:00 AM,,55,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476719.31,4957260.5
25_4329-1,4329,,0,708,GRH,2025,5/20/2025,1,9:12:00 AM,,52,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470894.9,4964766
25_4330-1,4330,,0,709,GRH,2025,5/20/2025,1,8:53:00 AM,,51,1,,,0,"ravens, killdeer, and vultures sorta vibing together",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470448.28,4964294
25_3197-1,3197,,0,710,GRH,2025,5/20/2025,1,8:16:00 AM,,52,1,,,0,,1,918,1,M,A,,,,,,168,X,X,X,X,S,S,S,S,,S,S,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,478789.96,4953782
25_5391-1,5391,,0,711,GRH,2025,5/20/2025,1,7:50:00 AM,,51,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482335.68,4953897
25_5111-1,5111,,0,712,GRH,2025,5/20/2025,1,6:42:00 AM,,49,4,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503789.28,4943507.5
25_1896-1,1896,,0,713,GRH,2025,5/20/2025,1,6:12:00 AM,,48,4,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508042.53,4938612.5
25_4942-1,4942,,0,714,GRH,2025,5/20/2025,1,5:53:00 AM,,49,2,,,0,RTHA hunting in field,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508731.56,4937159
25_4684-1,4684,,0,715,GRH,2025,5/16/2025,1,6:07:00 AM,,44,3,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477767.34,4918245.5
25_3708-1,3708,,0,716,GRH,2025,5/16/2025,1,6:33:00 AM,,45,3,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477640.59,4917255.5
25_3709-1,3709,,0,717,GRH,2025,5/16/2025,1,6:56:00 AM,,46,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477527.68,4916615.5
25_4316-1,4316,,0,718,GRH,2025,5/16/2025,1,7:16:00 AM,,48,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479063.71,4915276
25_3863-1,3863,,0,719,GRH,2025,5/16/2025,1,7:35:00 AM,,50,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480085.21,4913802.5
25_5091-1,5091,,0,720,GRH,2025,5/16/2025,1,7:55:00 AM,,51,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480542.93,4912756
25_1417-1,1417,,0,721,GRH,2025,5/16/2025,1,8:35:00 AM,,53,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473271.4,4912312.5
25_3515-1,3515,,0,722,GRH,2025,5/16/2025,1,8:55:00 AM,,53,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473481.53,4910073.5
25_4070-1,4070,,0,723,GRH,2025,5/16/2025,1,9:19:00 AM,,54,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474917.37,4905673
25_621-1,621,,0,724,GRH,2025,5/16/2025,1,9:47:00 AM,,55,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479546.62,4899850.5
25_4199-1,4199,,0,725,GRH,2025,5/15/2025,1,9:54:00 AM,,54,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486400.18,4968303
25_4200-1,4200,,0,726,GRH,2025,5/15/2025,1,9:37:00 AM,,54,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485750.28,4968313.5
25_4320-1,4320,,0,727,GRH,2025,5/15/2025,1,9:18:00 AM,,52,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487249.96,4970420.5
25_3468-1,3468,,0,728,GRH,2025,5/15/2025,1,8:12:00 AM,,50,2,,,0,"S male heard behind, already counted previously",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481954.03,4971731.5
25_3467-1,3467,,0,729,GRH,2025,5/15/2025,1,7:53:00 AM,,49,2,,,0,,1,917,1,M,A,,,,,,541,X,X,S,X,X,X,X,X,,X,S,S,S,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,481957.37,4972381.5
25_3573-1,3573,,0,730,GRH,2025,5/15/2025,1,7:29:00 AM,,48,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481963.25,4973376
25_3699-1,3699,,0,731,GRH,2025,5/15/2025,1,6:58:00 AM,,48,2,,,0,,3,914,1,M,A,,,,,,148,X,S,V,V,V,V,V,S,,S,S,V,V,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,481439.37,4971737.5
25_3699-1,3699,,0,731,GRH,2025,5/15/2025,1,6:58:00 AM,,48,2,,,0,,3,915,2,M,A,,,,,,41,X,X,X,X,X,X,X,S,,S,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,481439.37,4971737.5
25_3699-1,3699,,0,731,GRH,2025,5/15/2025,1,6:58:00 AM,,48,2,,,0,,3,916,3,F,A,,,,,,58,X,X,X,X,X,X,X,X,,X,X,V,V,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,481439.37,4971737.5
25_2795-1,2795,,0,732,GRH,2025,5/15/2025,1,6:40:00 AM,,47,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480789.15,4971601
25_5321-1,5321,,0,733,GRH,2025,5/15/2025,1,6:18:00 AM,,47,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478642.46,4971547.5
25_2950-1,2950,,0,735,GRH,2025,5/14/2025,1,9:29:00 AM,,52,1,,,0,Peas! Or other beans I don't know,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489827.37,4957683.5
25_1963-1,1963,,0,736,GRH,2025,5/14/2025,1,9:45:00 AM,,54,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490277.31,4956527
25_4887-1,4887,,0,737,GRH,2025,5/14/2025,1,9:05:00 AM,,52,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492415.9,4958257
25_3548-1,3548,,0,738,GRH,2025,5/14/2025,1,8:27:00 AM,,50,4,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499675.06,4957010
25_2227-1,222,,0,739,GRH,2025,5/14/2025,1,7:37:00 AM,,51,4,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488508,5017071.5
25_4030-1,4030,,0,740,GRH,2025,5/14/2025,1,8:06:00 AM,,49,4,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501230.78,4954164.5
25_2686-1,2686,,0,756,GRH,2025,5/21/2025,1,9:25:00 AM,,54,0,,,0,,1,930,1,M,A,,,,,,181,X,X,X,X,X,X,X,S,,S,S,S,S,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,483579.4,4990291
25_5380-1,5380,,0,757,GRH,2025,5/21/2025,1,9:03:00 AM,,53,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481323.21,4990304
25_3815-1,3815,,0,758,GRH,2025,5/21/2025,1,8:39:00 AM,,51,0,,,0,,1,926,1,M,A,,,,,,361,X,X,X,X,X,S,S,X,,S,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,478448.56,4987703.5
25_3915-1,3915,,0,759,GRH,2025,5/21/2025,1,8:16:00 AM,,50,0,,,0,,3,927,1,M,A,,,,,,178,X,X,X,S,V,V,X,X,,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,475972,4987670.5
25_3915-1,3915,,0,759,GRH,2025,5/21/2025,1,8:16:00 AM,,50,0,,,0,,3,928,2,M,A,,,,,,178,X,X,X,X,V,V,X,X,,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,475972,4987670.5
25_3915-1,3915,,0,759,GRH,2025,5/21/2025,1,8:16:00 AM,,50,0,,,0,,3,929,3,U,A,,,,,,169,X,X,X,V,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,475972,4987670.5
25_1397-1,1397,,0,760,GRH,2025,5/21/2025,1,7:56:00 AM,,49,0,,,0,Heard M from last point skylarking behind me,2,924,2,M,A,,,,,,393,S,S,S,X,X,X,X,S,,S,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,475327.5,4987807.5
25_1397-1,1397,,0,760,GRH,2025,5/21/2025,1,7:56:00 AM,,49,0,,,0,Heard M from last point skylarking behind me,2,923,1,M,A,,,,,,484,S,S,S,V,X,X,X,X,,X,S,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,475327.5,4987807.5
25_1577-1,1577,,0,761,GRH,2025,5/21/2025,1,7:39:00 AM,,46,0,,,0,NOHA fly-through,1,925,1,M,A,,,,,,298,X,X,X,S,S,S,S,S,,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,474015.37,4988462.5
25_9-1,9,,0,762,GRH,2025,5/21/2025,1,7:10:00 AM,,45,0,,,0,,1,922,1,M,A,,,,,,415,X,X,X,X,X,X,S,S,,S,X,X,S,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,478280.12,4996115.5
25_3367-1,3367,,0,763,GRH,2025,5/21/2025,1,6:40:00 AM,,44,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468050.65,4987719
25_4140-1,4140,,0,764,GRH,2025,5/21/2025,1,6:05:00 AM,,42,1,,,0,,2,920,1,M,A,,,,,,116,S,S,S,S,X,C,X,X,,X,X,C,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,470684.06,4984992
25_4140-1,4140,,0,764,GRH,2025,5/21/2025,1,6:05:00 AM,,42,1,,,0,,2,921,2,U,A,,,,,,130,X,X,X,X,X,X,X,X,,X,X,V,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,470684.06,4984992
25_3278-1,3278,,0,766,CWW,2025,5/21/2025,1,9:10:00 AM,,49,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494201.81,4886266
25_5195-1,5195,,0,767,CWW,2025,5/21/2025,1,9:40:00 AM,,51,1,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492974.46,4886178.5
25_711-1,711,,0,768,CWW,2025,5/22/2025,1,5:48:00 AM,,49,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483583.25,4930184
25_5808-1,5808,,0,769,CWW,2025,5/22/2025,1,6:17:00 AM,,49,2,,,0,"male + female pair NOHA very active, calling, harassing RTHA",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486647.62,4928790
25_1382-1,1382,,0,770,CWW,2025,5/22/2025,1,9:08:00 AM,,47,4,,,0,Harrier hunting area. Young pea field,2,931,1,M,A,,,,,,31,V,V,V,V,V,V,V,V,,V,V,V,X,,,,,,,,,,,,,,,,,,,,,,,,,496755.62,4929558.5
25_1382-1,1382,,0,770,CWW,2025,5/22/2025,1,9:08:00 AM,,47,4,,,0,Harrier hunting area. Young pea field,2,932,2,M,A,,,,,,240,X,X,X,X,X,X,X,S,,S,S,V,V,,,,,,,,,,,,,,,,,,,,,,,,,496755.62,4929558.5
25_5804-1,5804,,0,771,CWW,2025,5/22/2025,1,9:44:00 AM,,48,2,,,0,"Young peas, same field as previous detection. Possibly individual 2 from that survey (unlikely - 1.5km away)",1,936,1,M,A,,,,,,250,X,S,X,X,X,X,X,X,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,497399.37,4927954
25_2490-1,2490,,0,772,CWW,2025,5/22/2025,1,8:22:00 AM,,47,4,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492517.12,4929887.5
25_2036-1,2036,,0,773,CWW,2025,5/22/2025,1,8:39:00 AM,,47,4,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493530.71,4929567.5
25_5328-1,5328,,0,774,CWW,2025,5/22/2025,1,7:45:00 AM,,47,4,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490548.06,4931099.5
25_1050-1,1050,,0,775,CWW,2025,5/22/2025,1,8:02:00 AM,,47,4,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490879.56,4931490
25_5691-1,5691,,0,776,CWW,2025,5/22/2025,1,7:17:00 AM,,47,2,,,0,AMKE hunting area,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488676.75,4928599
25_5692-1,5692,,0,777,CWW,2025,5/22/2025,1,7:00:00 AM,,47,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488679.12,4929249
25_5315-1,5315,,0,778,CWW,2025,5/22/2025,1,6:41:00 AM,,49,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487070.59,4930393.5
25_1967-1,1967,,0,779,CWW,2025,6/10/2025,1,5:49:00 AM,,54,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481465.78,4935236.5
25_2601-1,2601,,0,780,CWW,2025,6/10/2025,1,6:21:00 AM,,54,0,,,0,NOHA hunting fields,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486506.9,4932409
25_2600-1,2600,,0,781,CWW,2025,6/10/2025,1,6:42:00 AM,,54,0,,,0,No larks,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486435.62,4931772
25_801-1,801,,0,782,CWW,2025,6/10/2025,1,7:12:00 AM,,55,0,,,0,BAEA perched prominently outside transect,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492404.84,4927905
25_2489-1,2489,,0,783,CWW,2025,6/10/2025,1,7:39:00 AM,,56,0,,,0,No larks,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492522.25,4930537.5
25_3004-1,3004,,0,784,CWW,2025,6/10/2025,1,8:10:00 AM,,58,0,,,0,"Peas and radishes. Individual 2 was visually detected while skylarking, very distant, too far to hear",2,937,1,M,A,,,,,,41,S,X,X,X,X,X,X,X,,X,X,S,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,496111.21,4930863
25_3004-1,3004,,0,784,CWW,2025,6/10/2025,1,8:10:00 AM,,58,0,,,0,"Peas and radishes. Individual 2 was visually detected while skylarking, very distant, too far to hear",2,938,2,M,A,,,,,,700,X,X,X,X,X,X,X,V,,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,496111.21,4930863
25_5385-1,5385,,0,785,CWW,2025,6/10/2025,1,8:43:00 AM,,64,0,,,0,"Honeybee hives one side, weedy clover other side",1,963,1,M,A,,,,,,60,S,S,C,V,X,X,X,X,,X,X,X,C,X,X,X,X,,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,,498536.28,4931503
25_1666-1,1666,,0,786,CWW,2025,6/10/2025,1,9:18:00 AM,,68,0,,,0,No larks,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504257.68,4931451
25_3923-1,3923,,0,787,CWW,2025,6/11/2025,1,5:37:00 AM,,49,0,,,0,11 elk - all bulls in velvet. Young hazelnut,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473055.68,4925130.5
25_2710-1,2710,,0,788,CWW,2025,6/11/2025,1,6:01:00 AM,,49,0,,,0,Mature hazels,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471099.65,4925077
25_4704-1,4704,,0,789,CWW,2025,6/11/2025,1,6:34:00 AM,,49,0,,,0,Xmas tree farm,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473560.28,4920463.5
25_3254-1,3254,,0,790,CWW,2025,6/11/2025,1,7:03:00 AM,,50,0,,,0,"RTHA pair very active, hunting",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477220.21,4919544
25_4607-1,4607,,0,791,CWW,2025,6/11/2025,1,8:06:00 AM,,50,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471145.53,4907859.5
25_1414-1,1414,,0,792,CWW,2025,6/11/2025,1,7:34:00 AM,,50,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474528.9,4913383
25_4450-1,4450,,0,793,CWW,2025,6/11/2025,1,9:00:00 AM,,55,2,,,0,lots of traffic,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478267.21,4905387.5
25_4071-1,4071,,0,794,CWW,2025,6/11/2025,1,8:34:00 AM,,55,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474603.21,4905176.5
25_3987-1,3987,,0,795,CWW,2025,6/11/2025,1,9:23:00 AM,,55,2,,,0,Medium size hazelnuts. Loud mowing.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480321.21,4905761.5
25_1778-1,1778,,0,796,GRH,2025,5/22/2025,1,7:55:00 AM,,53,4,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504191.43,4995579.5
25_4224-1,4224,,0,797,GRH,2025,5/22/2025,1,8:20:00 AM,,53,4,,,0,Field being actively watered by pivot,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499761.93,4961842
25_1240-1,1240,,0,798,GRH,2025,5/22/2025,1,8:41:00 AM,,54,2,,,0,"Really frustrating noise, thought I heard something but never quiet for long enough to confrm",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505220.71,5009886
25_1461-1,1461,,0,799,GRH,2025,5/22/2025,1,9:00:00 AM,,54,2,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504110.06,5012159.5
